good_bad_flag,bank_name_clients,approval_duration_group,age_at_loan_25th_pctile,credit_rating,termdays,employment_status_risk,level_of_education_risk,referral,bank_account_type_recode,age_at_loan,bank_account_type
Good,Standard Chartered,Low - 60.17,36 - High,1,30,Low,Low,No,Other,37,Other
Good,GT Bank,Low - 60.17,36 - High,1,15,Low,Low,No,Savings,37,Savings
Good,First Bank,60.17 - 60.23,36 - High,2,30,Low,Med,No,Savings,38,Savings
Good,GT Bank,61.13 - High,36 - High,2,15,Low,Med,No,Savings,39,Savings
Good,Diamond Bank,60.17 - 60.23,36 - High,1,30,Low,Low,No,Other,45,Other
Good,GT Bank,Low - 60.17,28 - 32,3,30,Low,High,No,Other,30,Other
Good,Stanbic IBTC,Low - 60.17,28 - 32,6,15,Med,High,No,Savings,30,Savings
Good,Diamond Bank,60.23 - 61.13,36 - High,1,15,Low,Low,Yes,Other,45,Current
Good,Access Bank,Low - 60.17,28 - 32,3,15,Low,High,No,Other,29,Other
Bad,GT Bank,61.13 - High,36 - High,1,30,Low,Low,No,Savings,40,Savings
Good,Access Bank,Low - 60.17,Low - 28,1,30,Low,Low,No,Savings,28,Savings
Bad,GT Bank,60.23 - 61.13,36 - High,9,15,High,High,No,Savings,46,Savings
Good,Access Bank,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,30,Savings
Bad,Diamond Bank,Low - 60.17,32 - 36,3,30,Low,High,No,Savings,33,Savings
Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,24,Savings
Good,Access Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,30,Savings
Good,GT Bank,60.17 - 60.23,36 - High,4,30,Med,Med,No,Other,44,Other
Good,Access Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,27,Savings
Good,UBA,60.17 - 60.23,36 - High,1,30,Low,Low,No,Other,40,Other
Good,GT Bank,Low - 60.17,28 - 32,9,30,High,High,No,Other,30,Other
Bad,Zenith Bank,Low - 60.17,Low - 28,9,30,High,High,No,Savings,26,Savings
Good,Skye Bank,Low - 60.17,Low - 28,6,30,Med,High,No,Other,27,Other
Good,GT Bank,Low - 60.17,32 - 36,3,15,Low,High,No,Other,35,Other
Good,Access Bank,Low - 60.17,36 - High,3,30,Low,High,No,Other,47,Other
Good,GT Bank,Low - 60.17,36 - High,6,30,Med,High,No,Other,51,Other
Good,EcoBank,60.23 - 61.13,Low - 28,9,30,High,High,No,Other,24,Other
Bad,UBA,60.23 - 61.13,Low - 28,3,15,Low,High,Yes,Savings,27,Savings
Good,EcoBank,60.23 - 61.13,36 - High,9,30,High,High,No,Savings,38,Savings
Good,First Bank,60.23 - 61.13,36 - High,2,30,Low,Med,No,Savings,41,Savings
Good,GT Bank,60.23 - 61.13,28 - 32,3,15,Low,High,No,Savings,31,Savings
Good,First Bank,60.23 - 61.13,28 - 32,9,30,High,High,Yes,Savings,29,Savings
Good,UBA,61.13 - High,32 - 36,3,15,Low,High,No,Savings,34,Savings
Good,Diamond Bank,61.13 - High,Low - 28,9,15,High,High,No,Savings,24,Savings
Good,GT Bank,61.13 - High,Low - 28,3,30,Low,High,No,Savings,25,Savings
Good,GT Bank,60.17 - 60.23,32 - 36,3,15,Low,High,No,Savings,33,Savings
Good,GT Bank,60.17 - 60.23,36 - High,9,15,High,High,No,Savings,44,Savings
Bad,GT Bank,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,30,Savings
Good,First Bank,60.17 - 60.23,32 - 36,3,15,Low,High,No,Savings,33,Savings
Good,Access Bank,Low - 60.17,28 - 32,6,15,Med,High,No,Other,30,Other
Good,GT Bank,Low - 60.17,32 - 36,1,15,Low,Low,No,Other,34,Other
Bad,Diamond Bank,60.17 - 60.23,28 - 32,9,30,High,High,No,Savings,31,Savings
Good,First Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,27,Savings
Good,UBA,61.13 - High,36 - High,3,30,Low,High,No,Savings,39,Savings
Good,Skye Bank,Low - 60.17,32 - 36,9,15,High,High,No,Savings,33,Savings
