ROW_ID,good_bad_flag,bank_name_clients,DurApproval Groups,AgeAtTimeofLoan Groups 2_25thPctile,DemoCreditRating,termdays,employment_status_clients_Risk,employment_status_clients_reference_only,level_of_education_clients_Risk,level_of_education_clients_reference_only,referral,bank_account_type_recode,loanamount Groups,approveddate,creationdate,DurApproval,loanamount,totaldue,Interestrate,birthdate,AgeAtTimeofLoan,longitude_gps,latitude_gps,customerid,systemloanid,bank_account_type,employment_status_clients_Risk 2,level_of_education_clients 2,Validation,termdays 2,loannumber
1,Good,Standard Chartered,Low - 60.17,36 - High,1,30,Low,Permanent,Low,Graduate,No,Other,Norm,29:37.0,29:31.0,60.1,10000,13000,365,00:00.0,37,3.3952298,6.5921915,8a1a1e7e4f707f8b014f797718316cad,301620412,Other,1,1,Training,Norm,1
2,Good,GT Bank,Low - 60.17,36 - High,1,15,Low,Permanent,Low,Graduate,No,Savings,Norm,21:28.0,21:20.0,60.13333333,10000,11500,365,00:00.0,37,3.3063883,6.6518433,8a1a32fc49b632520149c3b8fdf85139,301603860,Savings,1,1,Training,Short,1
3,Good,First Bank,60.17 - 60.23,36 - High,2,30,Low,Permanent,Med,Secondary,No,Savings,Norm,52:19.0,52:07.0,60.2,10000,13000,365,00:00.0,38,3.4266977,6.4230477,8a1eb5ba49a682300149c3c068b806c7,301753394,Savings,1,2,Validation,Norm,1
4,Good,GT Bank,61.13 - High,36 - High,2,15,Low,Permanent,Med,Secondary,No,Savings,Norm,49:29.0,48:20.0,61.15,10000,11500,365,00:00.0,39,6.9761323,4.8010013,8a1edbf14734127f0147356fdb1b1eb2,301911287,Savings,1,2,Training,Short,1
5,Good,Diamond Bank,60.17 - 60.23,36 - High,1,30,Low,Permanent,Low,Post-Graduate,No,Other,Norm,57:01.0,56:47.0,60.23333333,10000,13000,365,00:00.0,45,3.4320102,6.4330553,8a2a81a74ce8c05d014cfb32a0da1049,301675247,Other,1,1,Validation,Norm,1
6,Good,GT Bank,Low - 60.17,28 - 32,3,30,Low,Permanent,High,,No,Other,Norm,01:41.0,01:32.0,60.15,10000,13000,365,00:00.0,30,8.5691829,11.975772,8a2ac4745091002b0150a144bcbe58b7,301628360,Other,1,3,Test,Norm,1
7,Good,Stanbic IBTC,Low - 60.17,28 - 32,6,15,Med,Self-Employed,High,,No,Savings,Norm,11:30.0,11:24.0,60.1,10000,11500,365,00:00.0,30,3.3816093,6.494124,8a6a96044539adf801453c576ed213c4,301604213,Savings,2,3,Validation,Short,1
8,Good,Diamond Bank,60.23 - 61.13,36 - High,1,15,Low,Permanent,Low,Graduate,Yes,Other,Norm,19:38.0,18:30.0,61.13333333,10000,11500,365,00:00.0,45,3.4195783,6.4342448,8a6b87fe4d56512d014d57af446e7ad0,301955773,Current,1,1,Test,Short,1
9,Good,Access Bank,Low - 60.17,28 - 32,3,15,Low,Permanent,High,,No,Other,Norm,40:29.0,40:21.0,60.13333333,10000,11500,365,00:00.0,29,3.4866076,6.6220801,8a26bd845089f1d7015090b1d6f53bad,301620348,Other,1,3,Training,Short,1
10,Bad,GT Bank,61.13 - High,36 - High,1,30,Low,Permanent,Low,Graduate,No,Savings,Norm,16:58.0,15:47.0,61.18333333,10000,13000,365,00:00.0,40,3.2327404,6.6022522,8a33a06e4a5075c2014a5295aa0c2224,301764747,Savings,1,1,Training,Norm,1
