row_id,good_bad_flag,bank_name_clients,approval_duration_group,age_at_loan_25th_pctile,credit_rating,termdays,employment_status_risk,level_of_education_risk,referral,bank_account_type_recode,loanamount_group,approval_duration,loanamount,totaldue,Interestrate,age_at_loan,longitude_gps,latitude_gps,bank_account_type,validation
1,Good,Standard Chartered,Low - 60.17,36 - High,1,30,Low,Low,No,Other,Norm,60.1,10000,13000,365,37,3.3952298,6.5921915,Other,Training
2,Good,GT Bank,Low - 60.17,36 - High,1,15,Low,Low,No,Savings,Norm,60.13333333,10000,11500,365,37,3.3063883,6.6518433,Savings,Training
3,Good,First Bank,60.17 - 60.23,36 - High,2,30,Low,Med,No,Savings,Norm,60.2,10000,13000,365,38,3.4266977,6.4230477,Savings,Validation
4,Good,GT Bank,61.13 - High,36 - High,2,15,Low,Med,No,Savings,Norm,61.15,10000,11500,365,39,6.9761323,4.8010013,Savings,Training
5,Good,Diamond Bank,60.17 - 60.23,36 - High,1,30,Low,Low,No,Other,Norm,60.23333333,10000,13000,365,45,3.4320102,6.4330553,Other,Validation
6,Good,GT Bank,Low - 60.17,28 - 32,3,30,Low,High,No,Other,Norm,60.15,10000,13000,365,30,8.5691829,11.975772,Other,Test
7,Good,Stanbic IBTC,Low - 60.17,28 - 32,6,15,Med,High,No,Savings,Norm,60.1,10000,11500,365,30,3.3816093,6.494124,Savings,Validation
8,Good,Diamond Bank,60.23 - 61.13,36 - High,1,15,Low,Low,Yes,Other,Norm,61.13333333,10000,11500,365,45,3.4195783,6.4342448,Current,Test
9,Good,Access Bank,Low - 60.17,28 - 32,3,15,Low,High,No,Other,Norm,60.13333333,10000,11500,365,29,3.4866076,6.6220801,Other,Training
10,Bad,GT Bank,61.13 - High,36 - High,1,30,Low,Low,No,Savings,Norm,61.18333333,10000,13000,365,40,3.2327404,6.6022522,Savings,Training
11,Good,Access Bank,Low - 60.17,Low - 28,1,30,Low,Low,No,Savings,Norm,60.1,10000,13000,365,28,7.0373446,4.8189784,Savings,Training
12,Bad,GT Bank,60.23 - 61.13,36 - High,9,15,High,High,No,Savings,Norm,60.31666667,10000,11500,365,46,3.8709075,7.3979711,Savings,Training
13,Good,Access Bank,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,Norm,60.38333333,10000,13000,365,30,3.3255134,6.4636791,Savings,Training
14,Bad,Diamond Bank,Low - 60.17,32 - 36,3,30,Low,High,No,Savings,Norm,60.11666667,10000,13000,365,33,3.0363925,6.8878547,Savings,Test
15,Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.31666667,10000,11500,365,24,3.3744114,6.6357817,Savings,Test
16,Good,Access Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,30,7.4687117,9.0053581,Savings,Test
17,Good,GT Bank,60.17 - 60.23,36 - High,4,30,Med,Med,No,Other,Norm,60.2,10000,13000,365,44,3.5150748,6.4287105,Other,Test
18,Good,Access Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,27,4.5558341,7.7962433,Savings,Validation
19,Good,UBA,60.17 - 60.23,36 - High,1,30,Low,Low,No,Other,Norm,60.21666667,10000,13000,365,40,3.8664636,7.3297443,Other,Validation
20,Good,GT Bank,Low - 60.17,28 - 32,9,30,High,High,No,Other,Norm,60.16666667,10000,13000,365,30,6.9502058,4.8094405,Other,Training
21,Bad,Zenith Bank,Low - 60.17,Low - 28,9,30,High,High,No,Savings,Norm,60.15,10000,13000,365,26,7.0801593,5.4794504,Savings,Test
