row_id,good_bad_flag,pct_ontime,total_ontime,max_active_of_loans,max_approval_duration,bank_name_clients,max_age_at_loan,avg_age_at_loan,employment_status,bank_account_type,total_referrals,avg_num_of_loans,total_num_of_loans,total_approval_duration,mean_approval_duration,max_interest_rate,mean_interest_rate,mean_referrals,max_churn_flag,mean_churn_flag,loannumber,loanamount,totaldue,termdays,longitude,latitude,validation
1,Good,100,2,2,1.018888889,Diamond Bank,45,44.6,Permanent,Other,2,1.5,3,2.020833333,1.010416667,365,365,1,1,1,2,10000,11500,15,3.4195783,6.4342448,Training
2,Bad,0,0,2,1.02,Zenith Bank,27,26.7,Student,Savings,0,1.5,3,2.0225,1.01125,365,365,0,0,0,2,10000,11500,15,7.0801593,5.4794504,Training
3,Bad,0,0,2,1.018888889,UBA,27,27.4,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,0,0,2,10000,11500,15,5.5920183,6.3235483,Test
4,Good,100,2,2,1.018611111,EcoBank,38,38.2,Unknown,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,1,2,10000,11500,15,3.3885508,6.4539447,Test
5,Good,100,2,2,1.018888889,First Bank,41,41.3,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,1,2,10000,13000,30,5.6272822,6.3217533,Test
6,Good,100,2,2,1.194444444,GT Bank,31,31.2,Permanent,Savings,0,1.5,3,2.213333333,1.106666667,365,365,0,1,1,2,10000,13000,30,3.3549943,6.5397064,Training
7,Good,100,2,2,1.019166667,Diamond Bank,24,24.2,Unknown,Savings,0,1.5,3,2.021666667,1.010833333,365,365,0,1,1,2,10000,11500,15,3.5224291,6.4247056,Test
8,Good,100,2,2,1.019444444,GT Bank,33,33.1,Permanent,Savings,0,1.5,3,2.022777778,1.011388889,365,365,0,1,1,2,10000,11500,15,8.8464408,9.8824985,Training
9,Good,50,1,2,1.003333333,GT Bank,44,44.3,Unknown,Savings,0,1.5,3,2.005,1.0025,365,365,0,1,0.5,2,10000,11500,15,3.1483217,6.4638023,Test
10,Bad,0,0,2,1.003055556,UBA,30,30.1,Unknown,Savings,0,1.5,3,2.005277778,1.002638889,365,365,0,0,0,2,10000,13000,30,7.8819306,8.8536729,Training
11,Good,100,2,2,1.019166667,Diamond Bank,23,23.3,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,1,2,10000,13000,30,6.9313152,4.8061756,Validation
12,Good,100,2,2,1.004722222,Diamond Bank,35,34.5,Permanent,Savings,0,1.5,3,2.0075,1.00375,365,365,0,1,1,2,10000,11500,15,8.8633286,9.8119354,Training
13,Good,100,2,2,1.018888889,Stanbic IBTC,26,25.5,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,1,2,10000,13000,30,3.4454016,6.4361152,Test
14,Good,100,2,2,1.019166667,Zenith Bank,39,39.4,Permanent,Other,2,1.5,3,2.021111111,1.010555556,365,365,1,1,1,2,10000,13000,30,3.3253233,6.6772667,Validation
15,Bad,0,0,2,1.001666667,FCMB,28,27.6,Permanent,Savings,0,1.5,3,2.003055556,1.001527778,365,365,0,0,0,2,10000,13000,30,3.4515467,6.436961,Test
16,Good,100,2,2,1.002777778,UBA,28,28,Unknown,Savings,0,1.5,3,2.004722222,1.002361111,365,365,0,1,1,2,10000,13000,30,3.3468977,6.637077,Training
17,Good,100,2,2,1.018888889,Diamond Bank,47,46.6,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,1,2,10000,13000,30,3.871098,7.3473618,Test
18,Bad,0,0,2,1.003055556,Stanbic IBTC,30,29.7,Permanent,Savings,0,1.5,3,2.005,1.0025,365,365,0,0,0,2,10000,13000,30,6.9979401,4.8319172,Validation
19,Bad,50,1,2,1.003611111,GT Bank,37,37.4,Self-Employed,Other,0,1.5,3,2.005833333,1.002916667,365,365,0,1,0.5,2,10000,11500,15,7.3592521,8.9924654,Test
20,Bad,50,1,2,1.018888889,Access Bank,32,32.4,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,0.5,2,10000,13000,30,7.4602796,9.0065501,Validation
