row_id,good_bad_flag,Pct_Ontime,Sum(churn_flag),Max(loannumber),Max(durationforapproval),bank_name_clients,Max(AgeAtTimeofLoan),Mean(AgeAtTimeofLoan),employment_status_clients_reference_only,employment_status_clients_recode,bank_account_type_reference_only,bank_account_recode,Sum(referral_recode),Mean(loannumber),Sum(loannumber),Sum(durationforapproval),Mean(durationforapproval),Max(Interestrate),Mean(Interestrate),Sum(Interestrate),Max(referral_recode),Mean(referral_recode),Max(churn_flag),Mean(churn_flag),Sum(AgeAtTimeofLoan),systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,birthdate,longitude_gps,latitude_gps,bank_branch_clients,level_of_education_clients,Validation,customerid,customerid of PerfDemoCombined_train,referredby
1,Good,100,2,2,1.018888889,Diamond Bank,45,44.6,Permanent,Permanent,Current,Other,2,1.5,3,2.020833333,1.010416667,365,365,730,1,1,1,1,89,301985761,2,06:01.0,05:54.0,10000,11500,15,00:00.0,3.4195783,6.4342448,LEKKI EPE,Graduate,Training,8a6b87fe4d56512d014d57af446e7ad0,8a6b87fe4d56512d014d57af446e7ad0,8a858e495cef1ef1015cef8066103757
2,Bad,0,0,2,1.02,Zenith Bank,27,26.7,Student,Student,Savings,Savings,0,1.5,3,2.0225,1.01125,365,365,730,0,0,0,0,53,301998905,2,38:58.0,37:46.0,10000,11500,15,00:00.0,7.0801593,5.4794504,,,Training,8a858e0a5668e69c01567e19e7626d39,8a858e0a5668e69c01567e19e7626d39,
3,Bad,0,0,2,1.018888889,UBA,27,27.4,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,0,0,55,301981158,2,54:09.0,54:03.0,10000,11500,15,00:00.0,5.5920183,6.3235483,,,Test,8a858e0b5cf4883c015cf7f00f2b1efc,8a858e0b5cf4883c015cf7f00f2b1efc,8a858f795896e56b0158a4eb84d1648d
4,Good,100,2,2,1.018611111,EcoBank,38,38.2,,Unknown,Savings,Savings,0,1.5,3,2.020277778,1.010138889,365,365,730,0,0,1,1,76,301998887,2,26:42.0,26:36.0,10000,11500,15,00:00.0,3.3885508,6.4539447,,,Test,8a858e0b5cf4883c015cf7f015511f70,8a858e0b5cf4883c015cf7f015511f70,
5,Good,100,2,2,1.018888889,First Bank,41,41.3,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020555556,1.010277778,365,365,730,0,0,1,1,83,301981322,2,44:05.0,43:59.0,10000,13000,30,00:00.0,5.6272822,6.3217533,"40,SAPELE ROAD ,OPPOSITE DUMAZ JUNCTION BENIN CITY EDO STATE.",Secondary,Test,8a858e0b5cf4883c015cf56488eb4d41,8a858e0b5cf4883c015cf56488eb4d41,
6,Good,100,2,2,1.194444444,GT Bank,31,31.2,Permanent,Permanent,Savings,Savings,0,1.5,3,2.213333333,1.106666667,365,365,730,0,0,1,1,62,301959402,2,14:24.0,02:44.0,10000,13000,30,00:00.0,3.3549943,6.5397064,,,Training,8a858e0b5cfa2028015cfd224a806b9a,8a858e0b5cfa2028015cfd224a806b9a,
7,Good,100,2,2,1.019166667,Diamond Bank,24,24.2,,Unknown,Savings,Savings,0,1.5,3,2.021666667,1.010833333,365,365,730,0,0,1,1,48,302002420,2,29:59.0,29:50.0,10000,11500,15,00:00.0,3.5224291,6.4247056,,,Test,8a858e0b5cfa2028015d099b789b229f,8a858e0b5cfa2028015d099b789b229f,
8,Good,100,2,2,1.019444444,GT Bank,33,33.1,Permanent,Permanent,Savings,Savings,0,1.5,3,2.022777778,1.011388889,365,365,730,0,0,1,1,66,301977647,2,38:23.0,37:13.0,10000,11500,15,00:00.0,8.8464408,9.8824985,,,Training,8a858e0b5d1d8104015d1db8dcf31765,8a858e0b5d1d8104015d1db8dcf31765,
9,Good,50,1,2,1.003333333,GT Bank,44,44.3,,Unknown,Savings,Savings,0,1.5,3,2.005,1.0025,365,365,730,0,0,1,0.5,89,302000066,2,48:18.0,48:12.0,10000,11500,15,00:00.0,3.1483217,6.4638023,,,Test,8a858e0b5d1d8104015d1dcb82a0210c,8a858e0b5d1d8104015d1dcb82a0210c,
10,Bad,0,0,2,1.003055556,UBA,30,30.1,,Unknown,Savings,Savings,0,1.5,3,2.005277778,1.002638889,365,365,730,0,0,0,0,60,301991394,2,44:32.0,44:24.0,10000,13000,30,00:00.0,7.8819306,8.8536729,,,Training,8a858e0f5c45466f015c55c7e09d5e9c,8a858e0f5c45466f015c55c7e09d5e9c,
