good_bad_flag,pct_ontime,total_ontime,max_active_of_loans,max_approval_duration,bank_name_clients,max_age_at_loan,avg_age_at_loan,employment_status,bank_account_type,total_num_of_loans,termdays
Good,100,2,2,1.018888889,Diamond Bank,45,44.6,Permanent,Other,3,15
Bad,0,0,2,1.02,Zenith Bank,27,26.7,Student,Savings,3,15
Bad,0,0,2,1.018888889,UBA,27,27.4,Permanent,Savings,3,15
Good,100,2,2,1.018611111,EcoBank,38,38.2,Unknown,Savings,3,15
Good,100,2,2,1.018888889,First Bank,41,41.3,Permanent,Savings,3,30
Good,100,2,2,1.194444444,GT Bank,31,31.2,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Diamond Bank,24,24.2,Unknown,Savings,3,15
Good,100,2,2,1.019444444,GT Bank,33,33.1,Permanent,Savings,3,15
Good,50,1,2,1.003333333,GT Bank,44,44.3,Unknown,Savings,3,15
Bad,0,0,2,1.003055556,UBA,30,30.1,Unknown,Savings,3,30
Good,100,2,2,1.019166667,Diamond Bank,23,23.3,Permanent,Savings,3,30
Good,100,2,2,1.004722222,Diamond Bank,35,34.5,Permanent,Savings,3,15
Good,100,2,2,1.018888889,Stanbic IBTC,26,25.5,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Zenith Bank,39,39.4,Permanent,Other,3,30
Bad,0,0,2,1.001666667,FCMB,28,27.6,Permanent,Savings,3,30
Good,100,2,2,1.002777778,UBA,28,28,Unknown,Savings,3,30
Good,100,2,2,1.018888889,Diamond Bank,47,46.6,Permanent,Savings,3,30
Bad,0,0,2,1.003055556,Stanbic IBTC,30,29.7,Permanent,Savings,3,30
Bad,50,1,2,1.003611111,GT Bank,37,37.4,Self-Employed,Other,3,15
Bad,50,1,2,1.018888889,Access Bank,32,32.4,Permanent,Savings,3,30
Bad,50,1,2,1.002222222,First Bank,41,40.7,Permanent,Savings,3,30
Bad,50,1,2,1.018888889,UBA,34,34.3,Permanent,Savings,3,30
Good,100,2,2,1.019166667,First Bank,29,29.1,Permanent,Savings,3,30
