,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,
,,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Contd,Categorical,Contd,Categorical,Contd,Categorical,
row_id,good_bad_flag,bank_name_clients,approval_duration_group,age_at_loan_25th_pctile,credit_rating,termdays,employment_status_risk,level_of_education_risk,referral,bank_account_type_recode,loanamount_group,approval_duration,loanamount,totaldue,Interestrate,age_at_loan,bank_account_type,validation
103,Bad,Skye Bank,Low - 60.17,Low - 28,2,30,Med,Low,No,Other,Norm,60.15,10000,13000,365,21,Other,Training
128,Good,GT Bank,Low - 60.17,Low - 28,9,30,High,High,No,Savings,Norm,60.16666667,10000,13000,365,21,Savings,Training
167,Bad,UBA,60.17 - 60.23,Low - 28,9,30,High,High,No,Savings,Norm,60.18333333,10000,13000,365,21,Savings,Training
908,Good,UBA,60.23 - 61.13,Low - 28,9,15,High,High,No,Savings,Norm,61.13333333,10000,11500,365,21,Savings,Test
1088,Good,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Other,Norm,60.2,10000,13000,365,21,Other,Validation
1159,Good,UBA,Low - 60.17,Low - 28,3,15,Low,High,No,Other,Norm,60.11666667,10000,11500,365,21,Other,Validation
1243,Bad,GT Bank,60.17 - 60.23,Low - 28,9,15,High,High,No,Savings,Norm,60.2,10000,11500,365,21,Savings,Training
1554,Good,First Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Savings,Norm,60.23333333,10000,13000,365,21,Savings,Training
1697,Good,GT Bank,60.23 - 61.13,Low - 28,9,30,High,High,No,Savings,Norm,61.13333333,10000,13000,365,21,Savings,Validation
1760,Bad,GT Bank,60.17 - 60.23,Low - 28,1,30,Low,Low,No,Other,Norm,60.2,10000,13000,365,21,Other,Training
1968,Good,Diamond Bank,Low - 60.17,Low - 28,3,30,High,Low,No,Savings,Norm,60.15,5000,6500,365,21,Savings,Training
2192,Good,GT Bank,Low - 60.17,Low - 28,1,15,Low,Low,No,Other,Norm,60.15,8000,9200,365,21,Other,Training
2195,Bad,UBA,Low - 60.17,Low - 28,9,15,High,High,No,Other,Norm,60.15,5000,5750,365,21,Other,Test
