Good_or_Bad,termdays,referral,bank_account_type_recode,bank_name_clients,employment_status_clients_Risk,DemoCreditRating,AgeAtTimeofLoan Groups 2_25thPctile,DurApproval Groups,loanamount Groups
Good,30,No,Other,Standard Chartered,Low,1,36 - High,Low - 60.17,Norm
Good,15,No,Savings,GT Bank,Low,1,36 - High,Low - 60.17,Norm
Good,30,No,Savings,First Bank,Low,2,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,GT Bank,Low,2,36 - High,61.13 - High,Norm
Good,30,No,Other,Diamond Bank,Low,1,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,Stanbic IBTC,Med,6,28 - 32,Low - 60.17,Norm
Good,15,Yes,Other,Diamond Bank,Low,1,36 - High,60.23 - 61.13,Norm
Good,15,No,Other,Access Bank,Low,3,28 - 32,Low - 60.17,Norm
Bad,30,No,Savings,GT Bank,Low,1,36 - High,61.13 - High,Norm
Good,30,No,Savings,Access Bank,Low,1,Low - 28,Low - 60.17,Norm
Bad,15,No,Savings,GT Bank,High,9,36 - High,60.23 - 61.13,Norm
Good,30,No,Savings,Access Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Bad,30,No,Savings,Diamond Bank,Low,3,32 - 36,Low - 60.17,Norm
Good,15,No,Savings,GT Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,Access Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,Access Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Bad,30,No,Savings,Zenith Bank,High,9,Low - 28,Low - 60.17,Norm
Good,15,No,Other,GT Bank,Low,3,32 - 36,Low - 60.17,Norm
Good,30,No,Other,Access Bank,Low,3,36 - High,Low - 60.17,Norm
Good,30,No,Other,GT Bank,Med,6,36 - High,Low - 60.17,Norm
Good,30,No,Other,EcoBank,High,9,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,EcoBank,High,9,36 - High,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,30,Yes,Savings,First Bank,High,9,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,UBA,Low,3,32 - 36,61.13 - High,Norm
Good,15,No,Savings,GT Bank,High,9,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,First Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Good,15,No,Other,Access Bank,Med,6,28 - 32,Low - 60.17,Norm
Good,15,No,Other,GT Bank,Low,1,32 - 36,Low - 60.17,Norm
Good,30,No,Savings,First Bank,Low,3,Low - 28,Low - 60.17,Norm
Good,30,No,Savings,UBA,Low,3,36 - High,61.13 - High,Norm
Good,15,No,Savings,Zenith Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,High,9,32 - 36,Low - 60.17,Norm
Good,30,No,Savings,Diamond Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,Stanbic IBTC,Low,1,32 - 36,60.17 - 60.23,Norm
Good,30,No,Savings,First Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,Union Bank,High,9,Low - 28,Low - 60.17,Norm
Good,15,Yes,Savings,Zenith Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Bad,30,No,Savings,UBA,High,9,28 - 32,60.17 - 60.23,Norm
Good,15,No,Savings,Skye Bank,Low,3,Low - 28,60.23 - 61.13,Norm
