Source,good_bad_flag of perf-trainperf,termdays,referral,bank_account_type_recode,bank_name_clients,employment_status_clients_Risk,DemoCreditRating,AgeAtTimeofLoan Groups 2_25thPctile,DurApproval Groups,loanamount Groups,___Class___,___Validation___,No Weighting,Weighting,Undersampling,Oversampling,Tomek,SMOTE plus Tomek,Naive No Weighting,Naive Weighting,Naive Under Sampling,Naive Over Sampling,Naive SMOTE,Naive Tomek,Naive SMOTE plus Tomek,Neural No Weighting,Neural Weighting,Neural Under Sampling,Neural Over Sampling,Neural SMOTE,Neural Tomek,Neural SMOTE plus Tomek,BootstrapForest No Weighting,BootstrapForest Weighting,BootstrapForest Under Sampling,BootstrapForest Over Sampling,BootstrapForest SMOTE,BootstrapForest Tomek,BootstrapForest SMOTE plus Tomek,BoostedTree No Weighting,BoostedTree Weighting,BoostedTree Under Sampling,BoostedTree Over Sampling,BoostedTree SMOTE,BoostedTree Tomek,BoostedTree SMOTE plus Tomek,SVM No Weighting,SVM Weighting,SVM Under Sampling,SVM Over Sampling,SVM SMOTE,SVM Tomek,SVM SMOTE plus Tomek,GenReg No Weighting,GenReg Weighting,GenReg Under Sampling,GenReg Over Sampling,GenReg SMOTE,GenReg Tomek,GenReg SMOTE plus Tomek,Prob(good_bad_flag of perf-trainperf==Bad),Prob(good_bad_flag of perf-trainperf==Good),Most Likely good_bad_flag of perf-trainperf
Training Set for Newloandemo_4344,Good,30,No,Other,Standard Chartered,Low,1,36 - High,Low - 60.17,Norm,0,Training,1,1,1,1,1,1,0.00159907,0.00159732,0.00495535,0.00146514,0.00141526,0.00155664,0.00136796,0.139498246,0.170719956,0.223636908,0.18586938,0.16738457,0.02196193,0.042151743,,,0.225215809,,,0.053398435,,0.175063843,0.4563313,0.428175855,0.435558368,0.097032569,0.182192901,0.145870781,0.10357985,0.19589765,0.23753739,0.14569312,0.07819186,0.07907707,0.07046299,0.161803094,0.322361994,0.362778652,0.328416048,0.059812553,0.150367062,0.051797723,0.125508104,0.874491896,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,GT Bank,Low,1,36 - High,Low - 60.17,Norm,0,Validation,1,1,1,1,1,1,0.15112547,0.38987643,0.44985966,0.39715131,0.4748574,0.15540664,0.46945442,0.136642587,0.432570458,0.503937593,0.404504113,0.486814351,0.195788191,0.476339077,,,0.449017918,,,0.079667405,,0.198432624,0.186686946,0.55769271,0.524944736,0.459041364,0.2223521,0.374824673,0.17022229,0.24365101,0.42552786,0.25370421,0.24620657,0.1727612,0.20817408,0.185655039,0.455305325,0.498090759,0.459898405,0.484313862,0.183979624,0.481127541,0.327873781,0.672126219,Good
Training Set for Newloandemo_4344,Good,30,No,Savings,First Bank,Low,2,36 - High,60.17 - 60.23,Norm,0,Validation,1,1,0,1,1,1,0.2615618,0.56005304,0.59398411,0.58525315,0.64277204,0.26992484,0.65049595,0.295685823,0.519399125,0.602916052,0.572480391,0.725134528,0.308428594,0.731603035,,,0.616755718,,,0.40122965,,0.264893689,0.545696976,0.483779944,0.557436912,0.634518007,0.303851549,0.723697923,0.18592759,0.75678698,0.73046833,0.75779086,0.69618957,0.18991512,0.70043876,0.228040815,0.515938845,0.532525987,0.520941874,0.721823509,0.259167344,0.74107164,0.762975362,0.237024638,Bad
Training Set for Newloandemo_4344,Good,15,No,Savings,GT Bank,Low,2,36 - High,61.13 - High,Norm,0,Validation,1,1,0,1,1,1,0.14074266,0.3701486,0.46759526,0.39553695,0.47647993,0.14362836,0.46896621,0.140805062,0.395784886,0.470556313,0.4511857,0.438576268,0.154179417,0.679414422,,,0.341036987,,,0.052580072,,0.195136062,0.492256892,0.267522161,0.33834203,0.264810268,0.239200632,0.158886899,0.21085354,0.2428067,0.34015002,0.27250668,0.21381148,0.19431633,0.18234978,0.192864997,0.463769533,0.501295042,0.469991069,0.445313393,0.191563569,0.415983232,0.427212004,0.572787996,Good
Training Set for Newloandemo_4344,Good,30,No,Other,Diamond Bank,Low,1,36 - High,60.17 - 60.23,Norm,0,Validation,1,1,1,1,1,1,0.10033581,0.28528121,0.25651086,0.29550879,0.35938125,0.10110718,0.361218,0.133880055,0.208167809,0.277794547,0.190147445,0.468347081,0.111329449,0.377581616,,,0.487464418,,,0.219116882,,0.197189208,0.501605891,0.459699926,0.45596286,0.427260907,0.198987093,0.42404474,0.14144487,0.52292864,0.35493169,0.35931256,0.26608383,0.14004061,0.26737072,0.168636219,0.43096504,0.428907423,0.416080147,0.453037551,0.179510105,0.424256952,0.426807172,0.573192828,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,Stanbic IBTC,Med,6,28 - 32,Low - 60.17,Norm,0,Validation,1,1,0,1,1,1,0.08387277,0.24629914,0.24228446,0.23765637,0.27264754,0.10170788,0.25593397,0.220911291,0.389964652,0.353503573,0.402490549,0.258064648,0.146863479,0.230852052,,,0.46024279,,,0.186069145,,0.204169585,0.469683096,0.548324043,0.215551538,0.483760746,0.224329351,0.465284104,0.17191496,0.3404587,0.3939224,0.28131165,0.2429991,0.15181485,0.18274979,0.215625338,0.505152594,0.508422959,0.502389428,0.292796724,0.226448487,0.219154791,0.438328833,0.561671167,Good
Training Set for Newloandemo_4344,Good,15,Yes,Other,Diamond Bank,Low,1,36 - High,60.23 - 61.13,Norm,0,Training,1,1,0,1,1,1,0.07719339,0.2298073,0.2416068,0.19746053,0.27889838,0.07890903,0.28053821,0.133788538,0.168411407,0.246180233,0.184703358,0.196313705,0.077292534,0.556230708,,,0.370990332,,,0.104026729,,0.184745667,0.08961112,0.210192924,0.376039596,0.061524639,0.215478898,0.030602974,0.16443986,0.24197157,0.17669901,0.22919915,0.13931601,0.16343536,0.12310459,0.160901026,0.416028767,0.428907423,0.382726693,0.317712927,0.166836497,0.263813466,0.195794598,0.804205402,Good
Training Set for Newloandemo_4344,Good,15,No,Other,Access Bank,Low,3,28 - 32,Low - 60.17,Norm,0,Validation,1,1,0,1,0,1,0.11247246,0.31228363,0.34164962,0.26802822,0.33492785,0.11673587,0.32779666,0.136852339,0.30738712,0.375848896,0.187377125,0.554146763,0.107284519,0.459066602,,,0.502949695,,,0.327446444,,0.143529526,0.387079101,0.506042821,0.354329185,0.589288275,0.152092721,0.270688386,0.2462757,0.24993197,0.32923407,0.17170818,0.11472179,0.23874739,0.09129631,0.203961087,0.457032091,0.431836076,0.391830342,0.464528379,0.226739004,0.41603523,0.483218182,0.516781818,Good
Training Set for Newloandemo_4344,Bad,30,No,Savings,GT Bank,Low,1,36 - High,61.13 - High,Norm,1,Validation,1,3.586726998,1,6,1,1,0.16881541,0.42151495,0.51779483,0.46517912,0.53316333,0.17140229,0.52732777,0.143964557,0.406085226,0.512264064,0.600572911,0.481158445,0.182153159,0.58448437,,,0.553302184,,,0.250491781,,0.219472731,0.179244619,0.518085595,0.280643931,0.57674479,0.238296177,0.555655864,0.14146337,0.19424462,0.42875448,0.26129822,0.65291271,0.11112955,0.65747811,0.190815153,0.463269411,0.498090759,0.477116332,0.505462289,0.191644724,0.507815529,0.433270421,0.566729579,Good
Training Set for Newloandemo_4344,Good,30,No,Savings,Access Bank,Low,1,Low - 28,Low - 60.17,Norm,0,Training,1,1,0,1,1,1,0.2973075,0.60307776,0.63304289,0.61243982,0.6797363,0.31145214,0.68582388,0.237739766,0.729629369,0.673358013,0.758524241,0.821176714,0.298375046,0.532121451,,,0.485035604,,,0.200544531,,0.22926948,0.522864324,0.50966863,0.536925977,0.431176986,0.269335567,0.474201717,0.16619713,0.61332045,0.70393291,0.59900328,0.71481383,0.17879312,0.72086269,0.19524712,0.446061335,0.568114663,0.469872738,0.605213033,0.199169614,0.615764138,0.565467808,0.434532192,Bad
Training Set for Newloandemo_4344,Bad,15,No,Savings,GT Bank,High,9,36 - High,60.23 - 61.13,Norm,1,Training,1,3.586726998,1,3,1,1,0.37962541,0.68680845,0.61565001,0.70186555,0.73240278,0.39743299,0.72578891,0.342812449,0.487326149,0.531836238,0.565040715,0.574402231,0.268660663,0.545759528,,,0.498230457,,,0.223539133,,0.171977465,0.424127888,0.502675526,0.453060286,0.60124524,0.178627439,0.602065352,0.16370009,0.65379497,0.74589808,0.6180844,0.73725704,0.16515604,0.74450311,0.256947479,0.545780867,0.523707321,0.55729658,0.727510584,0.271951986,0.74488907,0.681864489,0.318135511,Bad
Training Set for Newloandemo_4344,Good,30,No,Savings,Access Bank,Low,3,28 - 32,60.23 - 61.13,Norm,0,Training,1,1,0,1,1,1,0.24700034,0.54118124,0.56576483,0.51000097,0.61569003,0.2540216,0.6190478,0.277613924,0.666689381,0.556640067,0.574337556,0.662148173,0.263232271,0.700111011,,,0.769524886,,,0.532284307,,0.223066484,0.50290442,0.550239202,0.511553067,0.591470406,0.231213276,0.58210554,0.56951692,0.7809113,0.71971508,0.79900314,0.73867066,0.657835,0.74528703,0.371226301,0.648159399,0.600806845,0.637036591,0.814819956,0.403137981,0.823041937,0.859210207,0.140789793,Bad
Training Set for Newloandemo_4344,Bad,30,No,Savings,Diamond Bank,Low,3,32 - 36,Low - 60.17,Norm,1,Validation,1,3.586726998,1,3,1,1,0.11328157,0.31451577,0.29209971,0.32546356,0.40721676,0.11564199,0.40566483,0.13567475,0.340936017,0.339411275,0.368411463,0.597184752,0.130666348,0.568744448,,,0.202246102,,,0.064351405,,0.21672975,0.50290442,0.453343496,0.517412958,0.560547303,0.222330091,0.559698219,0.13236768,0.27418566,0.23750617,0.27639013,0.73710412,0.1294306,0.74436318,0.210977039,0.494687319,0.494707157,0.499777306,0.714374299,0.221183466,0.738722682,0.714660429,0.285339571,Bad
Training Set for Newloandemo_4344,Good,15,No,Savings,GT Bank,Low,3,Low - 28,60.23 - 61.13,Norm,0,Training,1,1,0,1,1,1,0.22336946,0.50834131,0.51944017,0.50437721,0.63136124,0.23313173,0.63995297,0.184872793,0.513159977,0.54351681,0.45875677,0.709676712,0.256476219,0.655180647,,,0.600420651,,,0.219946917,,0.218329272,0.511672044,0.581347358,0.51021482,0.629104061,0.259364424,0.6301177,0.16371841,0.48121296,0.59725702,0.46672602,0.73727322,0.16344115,0.7444698,0.217277893,0.502727934,0.504499219,0.491387503,0.656377639,0.22405774,0.663457922,0.679744914,0.320255086,Bad
