customerid,systemloanid,loannumber,approveddate,creationdate,DurApproval,loanamount,totaldue,termdays,termdays 2,Interestrate,referral,good_bad_flag of perf-trainperf,birthdate,AgeAtTimeofLoan,bank_account_type,bank_account_type_recode,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,employment_status_clients_Risk,employment_status_clients_Risk 2,level_of_education_clients,level_of_education_clients_Risk,level_of_education_clients 2,DemoCreditRating,Validation,AgeAtTimeofLoan Groups 2_25thPctile,DurApproval Groups,loanamount Groups
8a1a1e7e4f707f8b014f797718316cad,301620412,1,29:37.0,29:31.0,60.1,10000,13000,30,Norm,365,No,Good,00:00.0,37,Other,Other,3.3952298,6.5921915,Standard Chartered,Permanent,Low,1,Graduate,Low,1,1,Training,36 - High,Low - 60.17,Norm
8a1a32fc49b632520149c3b8fdf85139,301603860,1,21:28.0,21:20.0,60.13333333,10000,11500,15,Short,365,No,Good,00:00.0,37,Savings,Savings,3.3063883,6.6518433,GT Bank,Permanent,Low,1,Graduate,Low,1,1,Training,36 - High,Low - 60.17,Norm
8a1eb5ba49a682300149c3c068b806c7,301753394,1,52:19.0,52:07.0,60.2,10000,13000,30,Norm,365,No,Good,00:00.0,38,Savings,Savings,3.4266977,6.4230477,First Bank,Permanent,Low,1,Secondary,Med,2,2,Validation,36 - High,60.17 - 60.23,Norm
8a1edbf14734127f0147356fdb1b1eb2,301911287,1,49:29.0,48:20.0,61.15,10000,11500,15,Short,365,No,Good,00:00.0,39,Savings,Savings,6.9761323,4.8010013,GT Bank,Permanent,Low,1,Secondary,Med,2,2,Training,36 - High,61.13 - High,Norm
8a2a81a74ce8c05d014cfb32a0da1049,301675247,1,57:01.0,56:47.0,60.23333333,10000,13000,30,Norm,365,No,Good,00:00.0,45,Other,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Low,1,Post-Graduate,Low,1,1,Validation,36 - High,60.17 - 60.23,Norm
8a2ac4745091002b0150a144bcbe58b7,301628360,1,01:41.0,01:32.0,60.15,10000,13000,30,Norm,365,No,Good,00:00.0,30,Other,Other,8.5691829,11.975772,GT Bank,Permanent,Low,1,,High,3,3,Test,28 - 32,Low - 60.17,Norm
8a6a96044539adf801453c576ed213c4,301604213,1,11:30.0,11:24.0,60.1,10000,11500,15,Short,365,No,Good,00:00.0,30,Savings,Savings,3.3816093,6.494124,Stanbic IBTC,Self-Employed,Med,2,,High,3,6,Validation,28 - 32,Low - 60.17,Norm
8a6b87fe4d56512d014d57af446e7ad0,301955773,1,19:38.0,18:30.0,61.13333333,10000,11500,15,Short,365,Yes,Good,00:00.0,45,Current,Other,3.4195783,6.4342448,Diamond Bank,Permanent,Low,1,Graduate,Low,1,1,Test,36 - High,60.23 - 61.13,Norm
8a26bd845089f1d7015090b1d6f53bad,301620348,1,40:29.0,40:21.0,60.13333333,10000,11500,15,Short,365,No,Good,00:00.0,29,Other,Other,3.4866076,6.6220801,Access Bank,Permanent,Low,1,,High,3,3,Training,28 - 32,Low - 60.17,Norm
8a33a06e4a5075c2014a5295aa0c2224,301764747,1,16:58.0,15:47.0,61.18333333,10000,13000,30,Norm,365,No,Bad,00:00.0,40,Savings,Savings,3.2327404,6.6022522,GT Bank,Permanent,Low,1,Graduate,Low,1,1,Training,36 - High,61.13 - High,Norm
8a390a2150ad97330150aebdd8ef7456,301609945,1,58:49.0,58:43.0,60.1,10000,13000,30,Norm,365,No,Good,00:00.0,28,Savings,Savings,7.0373446,4.8189784,Access Bank,Permanent,Low,1,Graduate,Low,1,1,Training,Low - 28,Low - 60.17,Norm
8a858e0a5a85cfaa015a85f21a5e0bea,301828455,1,45:51.0,45:32.0,60.31666667,10000,11500,15,Short,365,No,Bad,00:00.0,46,Savings,Savings,3.8709075,7.3979711,GT Bank,Unknown,High,3,,High,3,9,Training,36 - High,60.23 - 61.13,Norm
