customerid,systemloanid,loannumber,approveddate,creationdate,DurApproval,loanamount,totaldue,termdays,termdays 2,Interestrate,referral,good_bad_flag of perf-trainperf,birthdate,AgeAtTimeofLoan,bank_account_type,bank_account_type_recode,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,employment_status_clients_Risk,employment_status_clients_Risk 2,level_of_education_clients,level_of_education_clients_Risk,level_of_education_clients 2,DemoCreditRating,Validation,AgeAtTimeofLoan Groups 2_25thPctile,DurApproval Groups,loanamount Groups
8a1a1e7e4f707f8b014f797718316cad,301620412,1,2016/05/13 3:29:37.000000 PM,2016/05/13 2:29:31.000000 PM,60.1,10000,13000,30,Norm,365,No,Good,1979/10/18 12:00:00.000000 AM,37,Other,Other,3.3952298,6.5921915,Standard Chartered,Permanent,Low,1,Graduate,Low,1,1,Training,36 - High,Low - 60.17,Norm
8a1a32fc49b632520149c3b8fdf85139,301603860,1,2016/03/23 2:21:28.000000 PM,2016/03/23 1:21:20.000000 PM,60.133333333,10000,11500,15,Short,365,No,Good,1979/01/29 12:00:00.000000 AM,37,Savings,Savings,3.3063883,6.6518433,GT Bank,Permanent,Low,1,Graduate,Low,1,1,Training,36 - High,Low - 60.17,Norm
8a1eb5ba49a682300149c3c068b806c7,301753394,1,2016/11/02 11:52:19.000000 AM,2016/11/02 10:52:07.000000 AM,60.2,10000,13000,30,Norm,365,No,Good,1978/11/25 12:00:00.000000 AM,38,Savings,Savings,3.4266977,6.4230477,First Bank,Permanent,Low,1,Secondary,Med,2,2,Validation,36 - High,60.17 - 60.23,Norm
8a1edbf14734127f0147356fdb1b1eb2,301911287,1,2017/05/17 12:49:29.000000 PM,2017/05/17 11:48:20.000000 AM,61.15,10000,11500,15,Short,365,No,Good,1978/04/07 12:00:00.000000 AM,39,Savings,Savings,6.9761323,4.8010013,GT Bank,Permanent,Low,1,Secondary,Med,2,2,Training,36 - High,61.13 - High,Norm
8a2a81a74ce8c05d014cfb32a0da1049,301675247,1,2016/08/09 10:57:01.000000 PM,2016/08/09 9:56:47.000000 PM,60.233333333,10000,13000,30,Norm,365,No,Good,1972/01/15 12:00:00.000000 AM,45,Other,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Low,1,Post-Graduate,Low,1,1,Validation,36 - High,60.17 - 60.23,Norm
8a2ac4745091002b0150a144bcbe58b7,301628360,1,2016/06/05 5:01:41.000000 PM,2016/06/05 4:01:32.000000 PM,60.15,10000,13000,30,Norm,365,No,Good,1986/02/06 12:00:00.000000 AM,30,Other,Other,8.5691829,11.975772,GT Bank,Permanent,Low,1,,High,3,3,Test,28 - 32,Low - 60.17,Norm
8a6a96044539adf801453c576ed213c4,301604213,1,2016/03/25 12:11:30.000000 PM,2016/03/25 11:11:24.000000 AM,60.1,10000,11500,15,Short,365,No,Good,1986/07/15 12:00:00.000000 AM,30,Savings,Savings,3.3816093,6.494124,Stanbic IBTC,Self-Employed,Med,2,,High,3,6,Validation,28 - 32,Low - 60.17,Norm
8a6b87fe4d56512d014d57af446e7ad0,301955773,1,2017/06/29 8:19:38.000000 AM,2017/06/29 7:18:30.000000 AM,61.133333333,10000,11500,15,Short,365,Yes,Good,1972/12/02 12:00:00.000000 AM,45,Current,Other,3.4195783,6.4342448,Diamond Bank,Permanent,Low,1,Graduate,Low,1,1,Test,36 - High,60.23 - 61.13,Norm
8a26bd845089f1d7015090b1d6f53bad,301620348,1,2016/05/13 1:40:29.000000 PM,2016/05/13 12:40:21.000000 PM,60.133333333,10000,11500,15,Short,365,No,Good,1987/04/03 12:00:00.000000 AM,29,Other,Other,3.4866076,6.6220801,Access Bank,Permanent,Low,1,,High,3,3,Training,28 - 32,Low - 60.17,Norm
8a33a06e4a5075c2014a5295aa0c2224,301764747,1,2016/11/25 8:16:58.000000 PM,2016/11/25 7:15:47.000000 PM,61.183333333,10000,13000,30,Norm,365,No,Bad,1977/04/30 12:00:00.000000 AM,40,Savings,Savings,3.2327404,6.6022522,GT Bank,Permanent,Low,1,Graduate,Low,1,1,Training,36 - High,61.13 - High,Norm
8a390a2150ad97330150aebdd8ef7456,301609945,1,2016/04/11 11:58:49.000000 AM,2016/04/11 10:58:43.000000 AM,60.1,10000,13000,30,Norm,365,No,Good,1988/10/01 12:00:00.000000 AM,28,Savings,Savings,7.0373446,4.8189784,Access Bank,Permanent,Low,1,Graduate,Low,1,1,Training,Low - 28,Low - 60.17,Norm
8a858e0a5a85cfaa015a85f21a5e0bea,301828455,1,2017/02/28 7:45:51.000000 PM,2017/02/28 6:45:32.000000 PM,60.316666667,10000,11500,15,Short,365,No,Bad,1970/09/29 12:00:00.000000 AM,46,Savings,Savings,3.8709075,7.3979711,GT Bank,Unknown,High,3,,High,3,9,Training,36 - High,60.23 - 61.13,Norm
8a858e0a5a85cfaa015a89b1af345719,301828953,1,2017/03/01 12:57:12.000000 PM,2017/03/01 11:56:49.000000 AM,60.383333333,10000,13000,30,Norm,365,No,Good,1986/11/16 12:00:00.000000 AM,30,Savings,Savings,3.3255134,6.4636791,Access Bank,Permanent,Low,1,,High,3,3,Training,28 - 32,60.23 - 61.13,Norm
8a858e0a5b192e2e015b1948fba112cf,301876724,1,2017/04/22 10:57:36.000000 AM,2017/04/22 9:57:29.000000 AM,60.116666667,10000,13000,30,Norm,365,No,Bad,1984/06/02 12:00:00.000000 AM,33,Savings,Savings,3.0363925,6.8878547,Diamond Bank,Permanent,Low,1,,High,3,3,Test,32 - 36,Low - 60.17,Norm
