Good_or_Bad,Max(loannumber),Max(durationforapproval),Mean(Interestrate),Sum(referral_recode),Sum(churn_flag),Pct_Ontime,Mean(AgeAtTimeofLoan),bank_account_recode,bank_name_clients,employment_status_clients_recode
Bad,2,1.02,365,0,0,0,26.7,Savings,Zenith Bank,Student
Bad,2,1.018888889,365,2,0,0,27.4,Savings,UBA,Permanent
Good,2,1.018611111,365,0,2,100,38.2,Savings,EcoBank,Unknown
Good,2,1.018888889,365,0,2,100,41.3,Savings,First Bank,Permanent
Good,2,1.194444444,365,0,2,100,31.2,Savings,GT Bank,Permanent
Good,2,1.019166667,365,0,2,100,24.2,Savings,Diamond Bank,Unknown
Good,2,1.019444444,365,0,2,100,33.1,Savings,GT Bank,Permanent
Good,2,1.003333333,365,0,1,50,44.3,Savings,GT Bank,Unknown
Good,2,1.004722222,365,0,2,100,34.5,Savings,Diamond Bank,Permanent
Good,2,1.018888889,365,2,2,100,25.5,Savings,Stanbic IBTC,Permanent
Good,2,1.019166667,365,2,2,100,39.4,Other,Zenith Bank,Permanent
Good,2,1.002777778,365,0,2,100,28,Savings,UBA,Unknown
Good,2,1.018888889,365,2,2,100,46.6,Savings,Diamond Bank,Permanent
Bad,2,1.003611111,365,0,1,50,37.4,Other,GT Bank,Self-Employed
Bad,2,1.018888889,365,0,1,50,32.4,Savings,Access Bank,Permanent
Bad,2,1.002222222,365,2,1,50,40.7,Savings,First Bank,Permanent
Bad,2,1.018888889,365,2,1,50,34.3,Savings,UBA,Permanent
Good,2,1.018888889,365,2,2,100,27.5,Savings,GT Bank,Unknown
Good,2,1.019722222,365,0,2,100,26.7,Savings,Access Bank,Permanent
Good,2,1.018888889,365,0,2,100,33.3,Savings,Zenith Bank,Permanent
Bad,2,1.019166667,365,0,1,50,42.5,Savings,GT Bank,Permanent
Good,2,1.018611111,365,0,2,100,33.1,Savings,GT Bank,Permanent
Good,2,1.018888889,365,0,1,50,44.7,Savings,Fidelity Bank,Permanent
Bad,2,1.003055556,365,0,1,50,28.6,Savings,UBA,Unknown
Good,2,1.018888889,365,0,2,100,51.2,Savings,First Bank,Unknown
Bad,2,1.003055556,365,2,0,0,26.8,Savings,First Bank,Unknown
Good,2,1.0025,365,2,2,100,41.1,Savings,GT Bank,Permanent
Good,2,1.018888889,365,2,2,100,26.4,Savings,Access Bank,Permanent
Bad,2,1.018888889,365,0,0,0,29.1,Savings,GT Bank,Permanent
Good,2,1.018888889,334.5833333,0,2,100,31,Savings,First Bank,Permanent
Good,2,1.019444444,365,0,2,100,32.6,Savings,Access Bank,ContractRetiredUnemployed
Bad,2,1.018888889,365,0,0,0,32.2,Savings,GT Bank,Unknown
Good,2,1.018888889,365,0,2,100,28.8,Savings,GT Bank,Permanent
Good,2,1.818055556,365,2,2,100,35.3,Savings,Stanbic IBTC,Permanent
Bad,2,1.019444444,365,0,1,50,21.8,Savings,Access Bank,Unknown
Good,2,1.018888889,365,2,2,100,31.6,Savings,GT Bank,Permanent
Bad,2,1.018888889,365,2,1,50,36.5,Savings,Diamond Bank,Permanent
Good,2,1.018888889,365,0,1,50,42.1,Other,Heritage Bank,Permanent
Good,2,1.019166667,365,0,1,50,37.2,Savings,Wema Bank,Permanent
Bad,2,1.018611111,365,0,0,0,25.2,Savings,Sterling Bank,Permanent
Good,2,1.018888889,365,0,2,100,28.3,Savings,UBA,Permanent
Good,2,1.019166667,365,2,2,100,29.8,Savings,Access Bank,Permanent
Good,2,1.019722222,365,2,1,50,32.7,Savings,Access Bank,Permanent
Good,2,1.019444444,365,0,2,100,35.8,Savings,Diamond Bank,Permanent
Good,2,1.019166667,273.75,0,2,100,32.1,Savings,UBA,Permanent
Bad,2,1.003333333,365,2,0,0,31.1,Savings,Access Bank,Permanent
Good,2,1.018888889,365,0,2,100,42,Savings,Skye Bank,Permanent
Bad,2,1.019166667,365,2,1,50,31.6,Savings,Access Bank,Permanent
Good,2,1.018888889,365,2,2,100,34.9,Savings,Zenith Bank,Permanent
Good,2,1.002222222,365,0,1,50,37.6,Savings,Diamond Bank,Permanent
Good,2,1.018611111,365,0,1,50,32,Savings,GT Bank,Unknown
Good,2,1.019166667,365,2,2,100,34.1,Savings,UBA,Permanent
Good,2,1.019166667,365,2,2,100,38.9,Savings,Access Bank,Permanent
Good,2,1.001944444,365,0,2,100,30.4,Savings,UBA,Permanent
Bad,2,1.019166667,365,0,0,0,27.6,Savings,Access Bank,Permanent
Good,2,1.002222222,365,0,2,100,34.3,Savings,First Bank,Permanent
Good,2,1.020555556,365,0,2,100,35.8,Savings,GT Bank,Unknown
Bad,2,1.003888889,365,0,0,0,28.7,Savings,GT Bank,Permanent
Bad,2,1.004444444,365,2,1,50,34.9,Savings,GT Bank,Unknown
Good,2,1.019166667,365,0,1,50,37.8,Savings,Sterling Bank,Permanent
Good,2,1.019166667,365,2,2,100,37.6,Savings,GT Bank,Permanent
Good,2,1.019166667,365,2,2,100,30.5,Savings,Skye Bank,Permanent
Good,2,1.018611111,365,0,2,100,24.3,Savings,Zenith Bank,Permanent
Good,2,1.018888889,365,2,2,100,31.5,Savings,GT Bank,Unknown
Good,2,1.018888889,365,2,2,100,33.9,Savings,GT Bank,Permanent
Bad,2,1.018611111,365,2,0,0,37.2,Savings,GT Bank,Permanent
Good,2,1.018888889,365,0,2,100,39.5,Savings,Zenith Bank,Permanent
Good,2,1.018888889,365,2,2,100,36.3,Savings,Stanbic IBTC,Permanent
Bad,2,1.018888889,365,0,0,0,27.4,Savings,GT Bank,Permanent
Bad,2,1.012222222,365,0,1,50,25.7,Other,Diamond Bank,Permanent
Good,2,1.018888889,365,0,1,50,33.7,Savings,EcoBank,Permanent
Good,2,1.019166667,365,0,2,100,41.2,Savings,UBA,Permanent
Good,2,1.018888889,365,0,2,100,51.3,Savings,Access Bank,Unknown
Good,2,1.018611111,365,0,2,100,33.7,Savings,GT Bank,Permanent
Bad,2,1.018611111,365,0,0,0,37.7,Savings,Zenith Bank,Unknown
Good,2,1.018888889,365,2,2,100,31,Savings,GT Bank,Permanent
Good,2,1.019166667,365,0,2,100,24.9,Savings,Access Bank,Permanent
Bad,2,1.019444444,365,0,1,50,32.6,Savings,GT Bank,Permanent
Bad,2,1.019444444,365,0,1,50,22.8,Savings,Zenith Bank,Permanent
Bad,2,1.018888889,365,0,0,0,37.8,Savings,Access Bank,Unknown
Good,2,1.020277778,365,0,1,50,28,Other,First Bank,Unknown
Good,2,1.004166667,365,0,2,100,36.2,Savings,Diamond Bank,Unknown
Good,2,1.018611111,365,0,2,100,31.5,Savings,First Bank,Permanent
Good,2,1.018888889,365,2,2,100,34.9,Savings,GT Bank,Unknown
Good,2,1.019166667,365,0,2,100,31.6,Savings,GT Bank,Permanent
Bad,2,1.018888889,365,0,1,50,29.9,Savings,GT Bank,Unknown
